"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Human Consumption of Meat Products","2018","Beef and veal","Kg per capita","19.55939881"
"Human Consumption of Meat Products","2018","Pig meat","Kg per capita","30.86646076"
"Human Consumption of Meat Products","2018","Sheep meat","Kg per capita","3.733959152"
"Human Consumption of Meat Products","2018","Poultry meat","Kg per capita","36.19620085"
"Human Consumption of Meat Products","2019","Total Meat","Kg per capita","90.22325123"
"Human Consumption of Meat Products","2019","Beef and veal","Kg per capita","19.40465305"
"Human Consumption of Meat Products","2019","Pig meat","Kg per capita","31.7716345"
"Human Consumption of Meat Products","2019","Sheep meat","Kg per capita","3.657421518"
"Human Consumption of Meat Products","2019","Poultry meat","Kg per capita","35.38954215"
"Human Consumption of Meat Products","2020","Total Meat","Kg per capita","88.89648476"
"Human Consumption of Meat Products","2020","Beef and veal","Kg per capita","18.88536184"
"Human Consumption of Meat Products","2020","Pig meat","Kg per capita","31.40553301"
"Human Consumption of Meat Products","2020","Sheep meat","Kg per capita","3.214529674"
"Human Consumption of Meat Products","2020","Poultry meat","Kg per capita","35.39106024"
"Human Consumption of Meat Products","2021","Total Meat","Kg per capita","92.19632413"
"Human Consumption of Meat Products","2021","Beef and veal","Kg per capita","18.95640028"
"Human Consumption of Meat Products","2021","Pig meat","Kg per capita","31.16410256"
"Human Consumption of Meat Products","2021","Sheep meat","Kg per capita","3.092886361"
"Human Consumption of Meat Products","2021","Poultry meat","Kg per capita","38.98293493"
"Meat Gross Indigenous Production","2012","Total Meat","000 Tonnes","1002"
"Meat Gross Indigenous Production","2012","Beef and veal","000 Tonnes","524"
"Meat Gross Indigenous Production","2012","Pig meat","000 Tonnes","298"
"Meat Gross Indigenous Production","2012","Sheep meat","000 Tonnes","47"
"Meat Gross Indigenous Production","2012","Poultry meat","000 Tonnes","132"
"Meat Gross Indigenous Production","2013","Total Meat","000 Tonnes","1015"
"Meat Gross Indigenous Production","2013","Beef and veal","000 Tonnes","551"
"Meat Gross Indigenous Production","2013","Pig meat","000 Tonnes","296"
"Meat Gross Indigenous Production","2013","Sheep meat","000 Tonnes","50"
"Meat Gross Indigenous Production","2013","Poultry meat","000 Tonnes","117"
"Meat Gross Indigenous Production","2014","Total Meat","000 Tonnes","1094"
"Meat Gross Indigenous Production","2014","Beef and veal","000 Tonnes","621"
"Meat Gross Indigenous Production","2014","Pig meat","000 Tonnes","306"
"Meat Gross Indigenous Production","2014","Sheep meat","000 Tonnes","51"
"Meat Gross Indigenous Production","2014","Poultry meat","000 Tonnes","116"
"Meat Gross Indigenous Production","2015","Total Meat","000 Tonnes","1100"
"Meat Gross Indigenous Production","2015","Beef and veal","000 Tonnes","589"
"Meat Gross Indigenous Production","2015","Pig meat","000 Tonnes","330"
"Meat Gross Indigenous Production","2015","Sheep meat","000 Tonnes","52"
"Meat Gross Indigenous Production","2015","Poultry meat","000 Tonnes","128"
"Meat Gross Indigenous Production","2016","Total Meat","000 Tonnes","1126"
"Meat Gross Indigenous Production","2016","Beef and veal","000 Tonnes","605"
"Meat Gross Indigenous Production","2016","Pig meat","000 Tonnes","324"
"Meat Gross Indigenous Production","2016","Sheep meat","000 Tonnes","53"
"Meat Gross Indigenous Production","2016","Poultry meat","000 Tonnes","146"
"Meat Gross Indigenous Production","2017","Total Meat","000 Tonnes","1182.522042"
"Meat Gross Indigenous Production","2017","Beef and veal","000 Tonnes","639.6243721"
"Meat Gross Indigenous Production","2017","Pig meat","000 Tonnes","333.1945191"
"Meat Gross Indigenous Production","2017","Sheep meat","000 Tonnes","57.47668833"
"Meat Gross Indigenous Production","2017","Poultry meat","000 Tonnes","152.2264623"
"Meat Gross Indigenous Production","2018","Total Meat","000 Tonnes","1205.448058"
"Meat Gross Indigenous Production","2018","Beef and veal","000 Tonnes","646.6764746"
"Meat Gross Indigenous Production","2018","Pig meat","000 Tonnes","344.1750899"
"Meat Gross Indigenous Production","2018","Sheep meat","000 Tonnes","57.81714626"
"Meat Gross Indigenous Production","2018","Poultry meat","000 Tonnes","156.7793475"
"Meat Gross Indigenous Production","2019","Total Meat","000 Tonnes","1214.248213"
"Meat Gross Indigenous Production","2019","Beef and veal","000 Tonnes","650.2221651"
"Meat Gross Indigenous Production","2019","Pig meat","000 Tonnes","340.9074942"
"Meat Gross Indigenous Production","2019","Sheep meat","000 Tonnes","56.06312219"
"Meat Gross Indigenous Production","2019","Poultry meat","000 Tonnes","167.0554317"
"Meat Gross Indigenous Production","2020","Total Meat","000 Tonnes","1266.412859"
"Meat Gross Indigenous Production","2020","Beef and veal","000 Tonnes","669.6416519"
"Meat Gross Indigenous Production","2020","Pig meat","000 Tonnes","362.6635688"
"Meat Gross Indigenous Production","2020","Sheep meat","000 Tonnes","57.3311752"
"Meat Gross Indigenous Production","2020","Poultry meat","000 Tonnes","176.7764632"
"Meat Gross Indigenous Production","2021","Total Meat","000 Tonnes","1234.7176"
"Meat Gross Indigenous Production","2021","Beef and veal","000 Tonnes","628.2983748"
"Meat Gross Indigenous Production","2021","Pig meat","000 Tonnes","374.4375485"
"Meat Gross Indigenous Production","2021","Sheep meat","000 Tonnes","55.99779786"
"Meat Gross Indigenous Production","2021","Poultry meat","000 Tonnes","175.9838784"
"Self Sufficiency in Meat Products","2012","Total Meat","%","270"
"Self Sufficiency in Meat Products","2012","Beef and veal","%","589"
"Self Sufficiency in Meat Products","2012","Pig meat","%","237"
